steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy
2001352	87	1508.95818114	5980030.6443	5688988.9387	3364304.58414	12046488.680933174	1075472.8846200316	1.98989616794	7.18034032867e-10
4061288	186	2827.46112919	8447683.44105	7679235.57404	6620604.31367	22941284.987870257	642991.6426394711	0.212515979199	3.81662856442e-10
6013671	283	4077.51738501	7278444.6496	5619635.54585	6641032.17939	20587149.589667294	714349.2452467312	0.172173507076	3.07046526599e-10
8008974	384	5353.68479919	9638441.57189	7485054.49542	7427866.54434	28999675.55493254	3863985.983925337	0.448357286877	1.97540344458e-10
10000388	484	6620.5878911	17836488.7098	7056693.84176	21454726.2735	61828193.24799911	1163313.699285675	0.504869622583	5.02147785321e-10
12009865	584	7903.33147597	22432518.5598	3183972.3963	60348656.8804	194122999.82509118	1137931.8348313193	0.470717861246	7.02919715551e-10
14034768	685	9196.27852607	24704728.6064	14530585.5005	29490391.9012	103255162.23484632	2985778.277161669	2.75831330111	1.56438629437e-10
16009594	783	10463.4398441	15604523.9231	10299371.5426	15585152.5322	57837132.86858182	2356604.091080969	0.171688079365	3.05553378224e-10
18001806	883	11731.307894	16144482.0977	4736189.47998	34114210.1291	112101913.96244746	712833.2265181189	0.280593717636	1.13185270456e-10
20010508	984	13000.0740061	21504291.2236	18431149.1802	14252932.054	42279409.224154785	3592594.8250360177	4.54642512342	2.62300361556e-10
22034152	1085	14293.194577	71345303.3148	36687160.9465	88601105.1989	305366075.61501455	2710591.9210557644	0.405983140395	4.08169258024e-10
24007647	1184	15549.909498	75766449.9206	8725163.72681	216724425.403	692471251.9716054	1803782.8391708552	0.400065155258	1.32733690708e-10
26019974	1284	16831.247411	6365473.84537	4322070.42639	6915116.50918	23805819.12080933	512241.7517342507	0.371367857537	2.88770673932e-10
28002135	1383	18092.863807	64814340.0756	5114057.76824	171663393.063	552092614.1252414	2287600.83773214	0.171799127781	1.99091503784e-10
30006747	1484	19374.2869692	8215501.99348	6235801.23434	6609717.59793	24039019.426063813	1171019.830617144	0.599598737654	1.40161976669e-10
32001711	1584	20641.7416282	7703288.72162	5324856.0828	7220903.47891	24348736.814258683	971229.3987887903	0.706859847761	2.52143529395e-10
34022849	1685	21926.1848741	11291659.2114	8432589.61718	13731486.3675	49470045.12356839	1959453.5132236194	0.414277519783	3.25594789169e-10
