steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy
31429	12	1390.9496901	2269.19438756	2000.26115401	586.533494567	3573.9160771319775	1781.064822615559	13.1375147156	2.18969766255
30844	1	1391.34107614	3585.94444099	3744.66474009	813.832384015	5055.486595807196	2178.322322229561	13.0890380396	2.18968787148
31024	2	1392.44103503	2972.10119829	2238.32347347	1425.47842192	6513.16303315128	1992.4990492636834	12.9808173764	2.18973771492
31272	9	1395.2781291	1922.75396563	1850.89700595	178.935371472	2217.2272851942757	1714.429911570742	13.0449085468	2.18968906364
31422	11	1398.60525012	2078.56277181	1952.83803729	287.94556591	2531.571515426632	1756.236530536601	13.1444910183	2.18973747191
31516	13	1399.61679316	3399.57154974	2894.71827336	1197.01423602	5621.722321755097	2152.6854166924445	12.7938864105	2.18977904852
31127	4	1401.31069613	2314.33329295	1976.32274786	733.851553159	4223.874748276875	1869.3740260709865	12.80750329	2.18975536281
31164	5	1401.53579807	2262.45052888	2291.43027332	119.646061144	2485.0973793972616	2048.405721748778	13.1833414428	2.18965127206
31221	6	1402.1854322	2438.84236038	2368.13228732	428.499835609	3187.432158885058	1984.8977401431316	12.8776055954	2.18975662794
31279	10	1403.62605214	3707.29893922	3337.2214891	1347.80584769	5795.222738141155	2005.1636526906118	13.0283877996	2.18976611222
31607	16	1404.09679198	2624.8437901	2509.35956142	528.083190322	3435.2110291084773	2046.9959909366994	12.9595070046	2.18980694423
31240	7	1405.4021101	3425.35469224	3390.14319646	1156.68394365	5227.575211604742	2032.184153802588	13.1918193639	2.18967220293
31588	15	1406.37578297	7776.9907672	4057.21996222	6734.17637355	19480.11747199382	2034.732238023412	13.1002430102	2.18973680957
31779	20	1409.40109706	2217.85476836	2120.44085486	397.897538223	3185.667743163769	1797.0127294519061	12.8801050105	2.18979758416
31531	14	1409.71139407	9126.77531617	3355.07233248	12109.9833366	37624.81972041068	2009.5143580331867	12.9879430906	2.18974347558
31241	8	1413.01709318	4029.8977325	3917.49447798	1604.56223126	6974.241050221684	2168.5546574270843	12.9588238049	2.18972399998
31781	21	1431.74313807	4294.63157872	3243.7563189	2930.34465233	11133.602523155407	1918.6488235028096	13.1277516997	2.18980337627
31645	17	1434.86995411	2617.54173593	2553.09621065	313.021955184	3269.6341300758936	2167.8259953336283	13.0926633683	2.18980441178
31108	3	1436.11394811	9577.58694147	4181.41249412	10807.9555431	32990.956545969035	2193.7633991472567	13.2268094447	2.18976080576
31755	19	1437.98203802	9649.07396995	4654.0771747	11655.1968123	37796.09342136254	2171.913047159527	13.2031428622	2.18976757385
31848	23	1438.13362503	6116.4123201	4060.78419419	6489.06798464	24204.831227442395	2199.5322937817514	12.9047507047	2.18981388554
31794	22	1440.07813406	2448.24510853	2407.43785887	280.668274945	2920.3925586146743	2149.3571411673192	13.0423358532	2.18984094733
31725	18	1441.37648916	2658.0208936	2471.39164368	428.160337595	3551.179699419365	2222.1143144027565	12.8083571217	2.18989233585
31856	24	1442.75494313	4308.33633146	3855.30682912	2186.70570573	8507.826559717372	2166.4187530823615	12.9530877002	2.18988889602
